taxon_name,gymnosperm,apg_family,group
Liriodendron,FALSE,Magnoliaceae,trsh
Lithocarpus-type,FALSE,Fagaceae,trsh
Lonicera,FALSE,Caprifoliaceae,trsh
Loranthaceae,FALSE,Loranthaceae,trsh
Lycium,FALSE,Solanaceae,trsh
Lyonia,FALSE,Ericaceae,trsh
Lysichiton,FALSE,Araceae,herb
Lythrum,FALSE,Lythraceae,herb
Maclura,FALSE,Moraceae,trsh
Magnolia,FALSE,Magnoliaceae,trsh
Malvaceae,FALSE,Malvaceae,herb
Meliaceae/Sapotaceae,FALSE,Meliaceae,trsh
Menispermaceae,FALSE,Menispermaceae,herb
Mentzelia,FALSE,Loasaceae,herb
Microsteris,FALSE,Polemoniaceae,herb
Mimosa,FALSE,Fabaceae,trsh
Mirabilis,FALSE,Nyctaginaceae,herb
Mitchella repens,FALSE,Rubiaceae,herb
Momipites/Caryapollenites,FALSE,Juglandaceae,trsh
Monotropa,FALSE,Ericaceae,herb
Montia,FALSE,Montiaceae,herb
Moraceae,FALSE,Moraceae,trsh
Myrica,FALSE,Myricaceae,trsh
Myricaceae,FALSE,Myricaceae,trsh
Myrsine,FALSE,Primulaceae,trsh
Myrtaceae,FALSE,Myrtaceae,trsh
Nemopanthus,FALSE,Aquifoliaceae,trsh
Nyssa,FALSE,Nyssaceae,trsh
Oleaceae,FALSE,Oleaceae,trsh
Onagraceae,FALSE,Onagraceae,herb
Oplopanax,FALSE,Araliaceae,herb
Opuntia,FALSE,Cactaceae,herb
Orchidaceae,FALSE,Orchidaceae,herb
Osmanthus,FALSE,Oleaceae,trsh
Ostrya/Carpinus,FALSE,Betulaceae,trsh
Oxalidaceae,FALSE,Oxalidaceae,herb
Papaveraceae,FALSE,Papaveraceae,herb
Parkinsonia,FALSE,Fabaceae,trsh
Parthenocissus,FALSE,Vitaceae,trsh
Pedicularis,FALSE,Orobanchaceae,herb
Pediomelum-type,FALSE,Fabaceae,herb
Phacelia,FALSE,Boraginaceae,herb
Phlox,FALSE,Polemoniaceae,herb
Phoradendron,FALSE,Santalaceae,trsh
Picea,TRUE,Pinaceae,trsh
Pinaceae undiff.,TRUE,Pinaceae,trsh
Pinguicula,FALSE,Lentibulariaceae,herb
Pinus,TRUE,Pinaceae,trsh
Piperaceae-type,FALSE,Piperaceae,trsh
Pistacia,FALSE,Anacardiaceae,trsh
Planera aquatica,FALSE,Ulmaceae,trsh
Plantago,FALSE,Plantaginaceae,herb
Plectritis,FALSE,Caprifoliaceae,herb
Plumbaginaceae,FALSE,Plumbaginaceae,herb
Poaceae,FALSE,Poaceae,herb
Polemoniaceae,FALSE,Polemoniaceae,herb
Polemonium,FALSE,Polemoniaceae,herb
Polygala,FALSE,Polygalaceae,herb
Polygonaceae,FALSE,Polygonaceae,herb
Polygonum-type,FALSE,Polygonaceae,herb
Populus,FALSE,Salicaceae,trsh
Portulacaceae,FALSE,Portulacaceae,herb
Potentilla-type,FALSE,Rosaceae,herb
Primulaceae,FALSE,Primulaceae,herb
Ptelea trifoliata,FALSE,Rutaceae,trsh
Pterocarya,FALSE,Juglandaceae,trsh
Pyrola,FALSE,Ericaceae,herb
Quercus,FALSE,Fagaceae,trsh
Ranunculaceae undiff.,FALSE,Ranunculaceae,herb
Ranunculus-type,FALSE,Ranunculaceae,herb
Resedaceae,FALSE,Resedaceae,herb
Rhamnaceae,FALSE,Rhamnaceae,trsh
Rhexia,FALSE,Melastomataceae,herb
Rhizophora,FALSE,Rhizophoraceae,trsh
Ribes-type,FALSE,Grossulariaceae,trsh
Rosaceae,FALSE,Rosaceae,herb
Rubiaceae,FALSE,Rubiaceae,trsh
Rumex-type,FALSE,Polygonaceae,herb
Rutaceae,FALSE,Rutaceae,trsh
Sabal,FALSE,Arecaceae,trsh
Salix,FALSE,Salicaceae,trsh
Salsola,FALSE,Amaranthaceae,herb
Sambucus,FALSE,Adoxaceae,trsh
Sapindaceae,FALSE,Sapindaceae,trsh
Sapindaceae subf. Hippocastanoideae,FALSE,Sapindaceae,trsh
Sarcobatus vermiculatus,FALSE,Sarcobataceae,trsh
Saxifraga,FALSE,Saxifragaceae,herb
Saxifragaceae,FALSE,Saxifragaceae,herb
Scrophulariaceae,FALSE,Scrophulariaceae,herb
Sequoia,TRUE,Cupressaceae,trsh
Sequoiadendron,TRUE,Cupressaceae,trsh
Serenoa,FALSE,Arecaceae,trsh
Shepherdia,FALSE,Elaeagnaceae,trsh
Shepherdia argentea,FALSE,Elaeagnaceae,trsh
Shepherdia canadensis,FALSE,Elaeagnaceae,trsh
Simmondsia chinensis,FALSE,Simmondsiaceae,trsh
Smilax,FALSE,Smilacaceae,herb
Solanaceae,FALSE,Solanaceae,herb
Sphaeralcea,FALSE,Malvaceae,herb
Styloceras,FALSE,Buxaceae,trsh
Swertia,FALSE,Gentianaceae,herb
Symphoricarpos,FALSE,Caprifoliaceae,trsh
Symplocos,FALSE,Symplocaceae,trsh
Syringa vulgaris,FALSE,Oleaceae,trsh
Taxaceae,TRUE,Taxaceae,trsh
Taxodium-type,TRUE,Taxaceae,trsh
Taxon aggregates,FALSE,delete,trsh/herb
Taxus,TRUE,Taxaceae,trsh
Tidestromia,FALSE,Amaranthaceae,herb
Tilia,FALSE,Malvaceae,trsh
Tillandsia,FALSE,Bromeliaceae,herb
Tofieldia,FALSE,Tofieldiaceae,herb
Trema,FALSE,Cannabaceae,trsh
Tribulus,FALSE,Zygophyllaceae,herb
Tsuga,TRUE,Pinaceae,trsh
Ulmaceae,FALSE,Ulmaceae,trsh
Ulmus,FALSE,Ulmaceae,trsh
Urtica-type,FALSE,Urticaceae,herb
Urticalean Rosids,FALSE,Rosaceae,herb
Valeriana,FALSE,Caprifoliaceae,herb
Valerianella-type,FALSE,Caprifoliaceae,herb
Verbenaceae,FALSE,Verbenaceae,herb
Viburnum,FALSE,Adoxaceae,trsh
Violaceae,FALSE,Violaceae,herb
Viscaceae sensu stricto undiff.,FALSE,Santalaceae,trsh
Vitaceae,FALSE,Vitaceae,trsh
Vitis,FALSE,Vitaceae,trsh
Xanthium-type,FALSE,Asteraceae,herb
Xyris,FALSE,Xyridaceae,herb
Yucca,FALSE,Asparagaceae,herb
Zea mays,FALSE,Poaceae,herb
Zygophyllaceae,FALSE,Zygophyllaceae,trsh
mimosoid clade,FALSE,Fabaceae,trsh
sample_id,FALSE,sample_id,labo
