taxon_name,gymnosperm,apg_family,group
Lathyrus/Vicia-type,FALSE,Fabaceae,herb
Laurus,FALSE,Lauraceae,trsh
Leontice,FALSE,Berberidaceae,herb
Ligustrum-type,FALSE,Oleaceae,herb
Liliaceae-type,FALSE,Liliaceae,herb
Linaceae,FALSE,Linaceae,herb
Linnaea borealis,FALSE,Caprifoliaceae,herb
Linum,FALSE,Linaceae,herb
Liquidambar,FALSE,Altingiaceae,trsh
Liriodendron,FALSE,Magnoliaceae,trsh
Lobelia,FALSE,Campanulaceae,herb
Lonicera,FALSE,Caprifoliaceae,trsh
Loranthaceae,FALSE,Loranthaceae,trsh
Loranthus europaeus,FALSE,Loranthaceae,trsh
Lotus-type,FALSE,Fabaceae,herb
Lythrum,FALSE,Lythraceae,herb
Malvaceae,FALSE,Malvaceae,herb
Marrubium,FALSE,Lamiaceae,herb
Medicago sativa-type,FALSE,Fabaceae,herb
Melampyrum,FALSE,Orobanchaceae,herb
Mercurialis,FALSE,Euphorbiaceae,herb
Mimulus,FALSE,Phrymaceae,herb
Monotropa hypopitys,FALSE,Ericaceae,herb
Myosotis-type,FALSE,Boraginaceae,herb
Myricaria germanica,FALSE,Tamaricaceae,trsh
Myrtaceae,FALSE,Myrtaceae,trsh
Nerium oleander,FALSE,Apocynaceae,trsh
Nicotiana,FALSE,Solanaceae,herb
Nigella,FALSE,Ranunculaceae,herb
Nyssa,FALSE,Nyssaceae,trsh
Odontites-type,FALSE,Orobanchaceae,herb
Olea europaea,FALSE,Oleaceae,trsh
Oleaceae,FALSE,Oleaceae,trsh
Onagraceae,FALSE,Onagraceae,herb
Onobrychis-type,FALSE,Fabaceae,herb
Orchidaceae,FALSE,Orchidaceae,herb
Ornithopus,FALSE,Fabaceae,herb
Orthilia,FALSE,Ericaceae,trsh
Ostrya/Carpinus orientalis,FALSE,Betulaceae,trsh
Oxalis,FALSE,Oxalidaceae,herb
Papaver,FALSE,Papaveraceae,herb
Parnassia palustris,FALSE,Celastraceae,herb
Parrotia,FALSE,Hamamelidaceae,trsh
Pedicularis,FALSE,Orobanchaceae,herb
Penthorum sedoides,FALSE,Penthoraceae,herb
Phillyrea,FALSE,Oleaceae,trsh
Picea,TRUE,Pinaceae,trsh
Pinguicula,FALSE,Lentibulariaceae,herb
Pinus,TRUE,Pinaceae,trsh
Pistacia,FALSE,Anacardiaceae,trsh
Plantaginaceae,FALSE,Plantaginaceae,herb
Plantago,FALSE,Plantaginaceae,herb
Platanus,FALSE,Platanaceae,trsh
Plumbaginaceae,FALSE,Plumbaginaceae,trsh
Poaceae,FALSE,Poaceae,herb
Polemoniaceae,FALSE,Polemoniaceae,herb
Polygala,FALSE,Polygalaceae,herb
Polygonaceae,FALSE,Polygonaceae,herb
Polygonum (pericolpate/periporate),FALSE,Polygonaceae,herb
Polygonum alpinum,FALSE,Polygonaceae,herb
Polygonum oxyspermum ssp. raii,FALSE,Polygonaceae,herb
Polygonum-type (tricolporate),FALSE,Polygonaceae,herb
Populus,FALSE,Salicaceae,trsh
Portulaca/Montia,FALSE,Portulacaceae,herb
Primula,FALSE,Primulaceae,herb
Primulaceae,FALSE,Primulaceae,herb
Psoralea bituminosa,FALSE,Fabaceae,herb
Pterocarya,FALSE,Juglandaceae,trsh
Quercus,FALSE,Fagaceae,trsh
Radiola linoides,FALSE,Linaceae,herb
Ranunculaceae,FALSE,Ranunculaceae,herb
Ranunculus arvensis-type,FALSE,Ranunculaceae,herb
Ranunculus-type,FALSE,Ranunculaceae,herb
Resedaceae,FALSE,Resedaceae,herb
Rhamnaceae,FALSE,Rhamnaceae,trsh
Rheum,FALSE,Polygonaceae,herb
Rhinanthus-group,FALSE,Orobanchaceae,herb
Rhus/Cotinus,FALSE,Anacardiaceae,trsh
Ribes,FALSE,Grossulariaceae,trsh
Roemeria-type,FALSE,Papaveraceae,herb
Rosaceae,FALSE,Rosaceae,trsh
Rosaceae (non-operculate),FALSE,Rosaceae,trsh
Rosaceae (operculate),FALSE,Rosaceae,herb
Rubiaceae,FALSE,Rubiaceae,herb
Rubus chamaemorus,FALSE,Rosaceae,herb
Rumex aquaticus-type,FALSE,Polygonaceae,herb
Rumex/Oxyria,FALSE,Polygonaceae,herb
Ruta,FALSE,Rutaceae,trsh
Rutaceae,FALSE,Rutaceae,trsh
Salix,FALSE,Salicaceae,trsh
Sambucus,FALSE,Adoxaceae,trsh
Sanguisorba-type,FALSE,Rosaceae,herb
Santalaceae,FALSE,Santalaceae,herb
Saxifraga,FALSE,Saxifragaceae,herb
Saxifragaceae,FALSE,Saxifragaceae,herb
Sciadopitys,TRUE,Sciadopityaceae,trsh
Scrophulariaceae (colporate-reticulate),FALSE,Scrophulariaceae,herb
Solanaceae,FALSE,Solanaceae,herb
Solanum,FALSE,Solanaceae,herb
Soldanella,FALSE,Primulaceae,herb
Spergula arvensis-type,FALSE,Caryophyllaceae,herb
Spergularia-type,FALSE,Caryophyllaceae,herb
Spermatophyta undiff. (trees/shrubs),FALSE,delete,trsh
Spermatophyta undiff. (upland herbs),FALSE,delete,trsh
Staphylea pinnata,FALSE,Staphyleaceae,trsh
Tamarix,FALSE,Tamaricaceae,trsh
Tamus communis,FALSE,Dioscoreaceae,herb
Taxus baccata,TRUE,Taxaceae,trsh
Teucrium,FALSE,Lamiaceae,herb
Thalictrum,FALSE,Ranunculaceae,herb
Theligonum cynocrambe,FALSE,Rubiaceae,herb
Thesium,FALSE,Santalaceae,herb
Thymelaeaceae,FALSE,Thymelaeaceae,trsh
Tilia,FALSE,Malvaceae,trsh
Tofieldia,FALSE,Tofieldiaceae,herb
Trachycarpus fortunei,FALSE,Arecaceae,trsh
Tribulus terrestris,FALSE,Zygophyllaceae,herb
Trientalis europaea,FALSE,Primulaceae,herb
Trifolium-type,FALSE,Fabaceae,herb
Trollius europaeus,FALSE,Ranunculaceae,herb
Tsuga,TRUE,Pinaceae,trsh
Tuberaria,FALSE,Cistaceae,herb
Ulmus/Zelkova,FALSE,Ulmaceae,trsh
Urticaceae/Moraceae,FALSE,Urticaceae,herb
Valerianaceae,FALSE,Caprifoliaceae,herb
Verbena officinalis,FALSE,Verbenaceae,herb
Verbenaceae,FALSE,Verbenaceae,herb
Viburnum,FALSE,Adoxaceae,trsh
Vincetoxicum,FALSE,Apocynaceae,herb
Viola,FALSE,Violaceae,herb
Viscum album,FALSE,Santalaceae,trsh
Vitis,FALSE,Vitaceae,trsh
Zygophyllum,FALSE,Zygophyllaceae,trsh
sample_id,FALSE,sample_id,labo
